Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_7381,1.00E-61,Q5R4C3,integral to membrane,Transmembrane protein 50B,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_7387,2.00E-54,Q8IWY9,chromatin assembly; cytoplasm; integral to membrane; negative regulation of DNA replication; nucleus,Codanin-1,Homo sapiens (Human)
Pgenerosa-v1_contig_739,3.00E-13,O45035,cytoplasm; lipid binding; transporter activity,Fatty acid-binding protein (Sj-FABPc) (Sj14FABP),Schistosoma japonicum (Blood fluke)
Pgenerosa-v1_contig_7391,3.00E-57,A1L1W9,integral to membrane; plasma membrane; transmembrane transport,Monocarboxylate transporter 10 (MCT 10) (Solute carrier family 16 member 10),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_7392,8.00E-23,F5H4B4,,Protein FAM227A,Homo sapiens (Human)
Pgenerosa-v1_contig_7393,2.00E-92,Q4R6I5,,Clathrin heavy chain linker domain-containing protein 1,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Pgenerosa-v1_contig_7394,1.00E-39,Q9CXC3,mitochondrial DNA repair; mitochondrion; single-stranded DNA exodeoxyribonuclease activity,Mitochondrial genome maintenance exonuclease 1 (EC 3.1.-.-),Mus musculus (Mouse)
Pgenerosa-v1_contig_7395,3.00E-68,Q8BUZ3,DNA binding; nucleus,Tigger transposable element-derived protein 4,Mus musculus (Mouse)
Pgenerosa-v1_contig_7396,2.00E-147,Q92538,"ARF guanyl-nucleotide exchange factor activity; COPI coating of Golgi vesicle; Golgi membrane; Golgi stack; cis-Golgi network; endoplasmic reticulum lumen; mitochondrion; modulation by virus of host morphology or physiology; peroxisome; post-Golgi vesicle-mediated transport; regulation of ARF protein signal transduction; retrograde vesicle-mediated transport, Golgi to ER; trans-Golgi network",Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1),Homo sapiens (Human)
Pgenerosa-v1_contig_7398,3.00E-142,P29052,nucleus; regulation of DNA binding; regulation of transcription from RNA polymerase II promoter; transcription factor complex; transcriptional start site selection at RNA polymerase II promoter; zinc ion binding,Transcription initiation factor IIB (General transcription factor TFIIB),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_74,7.00E-151,P12700,aerobic respiration; cytochrome-c oxidase activity; electron carrier activity; heme binding; integral to membrane; iron ion binding; mitochondrial inner membrane; oxidative phosphorylation; respiratory chain,Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide I),Paracentrotus lividus (Common sea urchin)
Pgenerosa-v1_contig_7400,8.00E-47,G5E8K5,axon guidance; axon initial segment; cytoskeleton; intercalated disc; lysosome; membrane; node of Ranvier; paranode region of axon; positive regulation of action potential; postsynaptic membrane; protein targeting to plasma membrane; regulation of action potential in neuron; sarcolemma; signal transduction; synapse; synapse organization,Ankyrin-3 (ANK-3) (Ankyrin-G),Mus musculus (Mouse)
Pgenerosa-v1_contig_7406,2.00E-108,O00170,GAF domain binding; cytosol; membrane; negative regulation of cyclic-nucleotide phosphodiesterase activity; nucleus; protein maturation by protein folding; protein targeting to mitochondrion; regulation of protein kinase A signaling cascade; signal transducer activity; transcription coactivator activity; transcription factor binding; unfolded protein binding; xenobiotic metabolic process,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),Homo sapiens (Human)
Pgenerosa-v1_contig_7407,6.00E-106,Q149F1,RNA binding; pseudouridine synthase activity; pseudouridine synthesis,RNA pseudouridylate synthase domain-containing protein 2,Mus musculus (Mouse)
Pgenerosa-v1_contig_7411,2.00E-47,Q96ST3,DNA binding; DNA replication; RNA polymerase II transcription corepressor activity; Sin3 complex; activation of innate immune response; aging; blood coagulation; cellular lipid metabolic process; cellular protein localization; cellular response to glucose stimulus; chromatin binding; in utero embryonic development; kinetochore; negative regulation of apoptotic process; negative regulation of histone H3-K27 acetylation; negative regulation of protein localization to nucleus; negative regulation of transcription from RNA polymerase II promoter; negative regulation of transcription regulatory region DNA binding; nucleolus; positive regulation of G2/M transition of mitotic cell cycle; positive regulation of chromatin silencing; positive regulation of defense response to virus by host; positive regulation of transcription from RNA polymerase II promoter; protein deacetylase activity; regulation of transcription from RNA polymerase II promoter in response to oxidative stress; response to methylglyoxal; response to organonitrogen compound; sequence-specific DNA binding transcription factor activity; small molecule metabolic process; transcription factor complex; transcriptional repressor complex,Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a),Homo sapiens (Human)
Pgenerosa-v1_contig_7417,2.00E-89,A8XFG2,"4 iron, 4 sulfur cluster binding; NADH dehydrogenase (ubiquinone) activity; metal ion binding; mitochondrion; quinone binding; respiratory chain","Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3)",Caenorhabditis briggsae
Pgenerosa-v1_contig_7418,5.00E-88,P97386,ATP binding; DNA binding; DNA ligase (ATP) activity; DNA ligation; DNA ligation involved in DNA repair; DNA recombination; DNA replication; cell cycle; cell division; chromosome; double-strand break repair via nonhomologous end joining; lagging strand elongation; mitochondrial DNA repair; negative regulation of DNA recombination; nucleotide-excision repair; nucleus; synaptonemal complex; zinc ion binding,DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3),Mus musculus (Mouse)
Pgenerosa-v1_contig_742,3.00E-68,Q8BYM7,cilium axoneme; cilium axoneme assembly; cilium movement; cytoskeleton; nucleolus; radial spoke,Radial spoke head protein 4 homolog A (Radial spoke head-like protein 3),Mus musculus (Mouse)
Pgenerosa-v1_contig_7424,5.00E-30,Q9CQV1,mitochondrial inner membrane presequence translocase complex; protein import into mitochondrial matrix,Mitochondrial import inner membrane translocase subunit TIM16 (Mitochondria-associated granulocyte macrophage CSF-signaling molecule) (Presequence translocated-associated motor subunit PAM16),Mus musculus (Mouse)
Pgenerosa-v1_contig_7426,6.00E-07,Q99PT3,"DNA recombination; DNA repair; Ino80 complex; cytoplasm; metal ion binding; nucleolus; plasma membrane; regulation of transcription, DNA-dependent; transcription, DNA-dependent",INO80 complex subunit B (High mobility group AT-hook 1-like 4) (PAP-1-associated protein 1) (PAPA-1) (Zinc finger HIT domain-containing protein 4),Mus musculus (Mouse)
Pgenerosa-v1_contig_7429,4.00E-42,Q1LY77,"RNA binding; chromosome; histone lysine methylation; histone-lysine N-methyltransferase activity; nuclear speck; nucleotide binding; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Histone-lysine N-methyltransferase SETD1B-A (EC 2.1.1.43) (SET domain-containing protein 1B-A),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_7430,6.00E-88,Q8CCA0,,DCN1-like protein 4 (DCUN1 domain-containing protein 4) (Defective in cullin neddylation protein 1-like protein 4),Mus musculus (Mouse)
Pgenerosa-v1_contig_7431,4.00E-63,Q13427,RNA splicing; cyclosporin A binding; cytoplasm; nuclear matrix; nuclear speck; nucleoplasm; peptidyl-prolyl cis-trans isomerase activity; protein folding; protein peptidyl-prolyl isomerization,Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G),Homo sapiens (Human)
Pgenerosa-v1_contig_7435,7.00E-96,A6H611,metal ion binding; metalloendopeptidase activity; mitochondrial matrix; mitochondrion; proteolysis,Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59),Mus musculus (Mouse)
Pgenerosa-v1_contig_7442,9.00E-117,P51958,ATP binding; RNA polymerase II carboxy-terminal domain kinase activity; cell division; cyclin-dependent protein serine/threonine kinase activity; cytoplasm; microtubule organizing center; mitosis; nucleus,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),Carassius auratus (Goldfish)
Pgenerosa-v1_contig_7444,8.00E-160,Q9NQH7,aminopeptidase activity; cellular process; glomerular filtration; manganese ion binding; metallopeptidase activity; mitochondrion; protein processing; proteolysis,Probable Xaa-Pro aminopeptidase 3 (X-Pro aminopeptidase 3) (EC 3.4.11.9) (Aminopeptidase P3) (APP3),Homo sapiens (Human)
Pgenerosa-v1_contig_7445,3.00E-28,Q68CJ6,GTP binding; GTP catabolic process; GTPase activity; nucleus,Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center),Homo sapiens (Human)
Pgenerosa-v1_contig_7453,4.00E-17,Q99932,acrosomal vesicle; membrane; nucleus; positive regulation of protein binding; positive regulation of transcription from RNA polymerase II promoter,Sperm-associated antigen 8 (HSD-1) (Sperm membrane protein 1) (SMP-1) (Sperm membrane protein BS-84),Homo sapiens (Human)
Pgenerosa-v1_contig_7455,4.00E-32,Q9H074,RNA binding; cytosol; mRNA stabilization; nuclear-transcribed mRNA poly(A) tail shortening; translation activator activity; translational initiation,Polyadenylate-binding protein-interacting protein 1 (PABP-interacting protein 1) (PAIP-1) (Poly(A)-binding protein-interacting protein 1),Homo sapiens (Human)
Pgenerosa-v1_contig_7458,2.00E-12,Q5E9A5,activation of MAPKK activity; apoptotic process; cell differentiation; multicellular organismal development; negative regulation of protein kinase activity; nucleus; regulation of cell cycle; response to stress,Growth arrest and DNA damage-inducible protein GADD45 beta,Bos taurus (Bovine)
Pgenerosa-v1_contig_746,2.00E-112,Q3MI03,"L-ascorbic acid binding; cytoplasm; iron ion binding; nucleus; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1 (EC 1.14.11.-),Bos taurus (Bovine)
Pgenerosa-v1_contig_7462,2.00E-56,Q5F201,cytoplasm; intracellular membrane-bounded organelle,WD repeat-containing protein 16,Mus musculus (Mouse)
Pgenerosa-v1_contig_747,6.00E-110,Q8IVS2,[acyl-carrier-protein] S-malonyltransferase activity; fatty acid biosynthetic process; mitochondrion,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial (MCT) (EC 2.3.1.39) (Mitochondrial malonyl CoA:ACP acyltransferase) (Mitochondrial malonyltransferase) ([Acyl-carrier-protein] malonyltransferase)",Homo sapiens (Human)
Pgenerosa-v1_contig_7473,0,Q9EPU4,mRNA 3'-UTR binding; mRNA cleavage; mRNA cleavage and polyadenylation specificity factor complex; mRNA polyadenylation,Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit),Mus musculus (Mouse)
Pgenerosa-v1_contig_7474,3.00E-150,P49005,"DNA binding; DNA strand elongation involved in DNA replication; DNA-directed DNA polymerase activity; base-excision repair; mitotic cell cycle; nucleoplasm; nucleotide-excision repair, DNA gap filling; telomere maintenance via recombination; telomere maintenance via semi-conservative replication; transcription-coupled nucleotide-excision repair",DNA polymerase delta subunit 2 (EC 2.7.7.7) (DNA polymerase delta subunit p50),Homo sapiens (Human)
Pgenerosa-v1_contig_7475,2.00E-46,Q80TG1,MLL1 complex; histone H4-K16 acetylation; histone H4-K5 acetylation; histone H4-K8 acetylation; histone acetyltransferase activity (H4-K16 specific); histone acetyltransferase activity (H4-K5 specific); histone acetyltransferase activity (H4-K8 specific); histone acetyltransferase complex,KAT8 regulatory NSL complex subunit 1 (NSL complex protein NSL1) (Non-specific lethal 1 homolog),Mus musculus (Mouse)
Pgenerosa-v1_contig_7476,1.00E-43,P34147,GTP binding; intracellular; small GTPase mediated signal transduction,Rho-related protein racA,Dictyostelium discoideum (Slime mold)
Pgenerosa-v1_contig_7481,7.00E-168,Q70KH2,carbohydrate metabolic process; glucosylceramidase activity; lysosomal membrane; sphingolipid metabolic process,Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase),Sus scrofa (Pig)
Pgenerosa-v1_contig_7482,4.00E-33,Q9UK22,ER-associated protein catabolic process; SCF ubiquitin ligase complex; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; beta-amyloid binding; carbohydrate binding; cytosol; dendritic spine; endoplasmic reticulum; glycoprotein catabolic process; organelle membrane; regulation of protein ubiquitination; ubiquitin-protein ligase activity,F-box only protein 2,Homo sapiens (Human)
Pgenerosa-v1_contig_7484,1.00E-81,Q03601,zinc ion binding,RING finger protein nhl-1,Caenorhabditis elegans
Pgenerosa-v1_contig_7485,2.00E-08,O94759,ADP-ribose diphosphatase activity; calcium channel activity; integral to plasma membrane; manganese ion transmembrane transporter activity; response to hydroperoxide; sodium channel activity; sodium ion transmembrane transport,Transient receptor potential cation channel subfamily M member 2 (EC 3.6.1.13) (Estrogen-responsive element-associated gene 1 protein) (Long transient receptor potential channel 2) (LTrpC-2) (LTrpC2) (Transient receptor potential channel 7) (TrpC7),Homo sapiens (Human)
Pgenerosa-v1_contig_7487,8.00E-46,O55096,aminopeptidase activity; cytoplasm; dipeptidyl-peptidase activity; metallopeptidase activity; proteolysis; zinc ion binding,Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_7490,4.00E-163,P91891,embryonic development via the syncytial blastoderm,Protein Mo25 (dMo25),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_7491,4.00E-102,Q9P2D0,cytoplasm; membrane; nucleus; protein kinase binding; protein tyrosine kinase inhibitor activity; release of sequestered calcium ion into cytosol,Inhibitor of Bruton tyrosine kinase (IBtk),Homo sapiens (Human)
Pgenerosa-v1_contig_7492,3.00E-134,Q15751,ARF guanyl-nucleotide exchange factor activity; Golgi apparatus; cerebellar Purkinje cell differentiation; cytosol; membrane; negative regulation of autophagy; neuromuscular process controlling balance; neuron projection development; transport; ubiquitin-protein ligase activity,Probable E3 ubiquitin-protein ligase HERC1 (EC 6.3.2.-) (HECT domain and RCC1-like domain-containing protein 1) (p532) (p619),Homo sapiens (Human)
Pgenerosa-v1_contig_7494,7.00E-44,Q3V124,"DNA recombination; DNA repair; Smc5-Smc6 complex; chromosome, telomeric region; cytoplasm; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",EP300-interacting inhibitor of differentiation 3 (EID-3) (EID-1-like inhibitor of differentiation 3) (Non-structural maintenance of chromosomes element 4 homolog B) (NS4EB) (Non-SMC element 4 homolog B),Mus musculus (Mouse)
Pgenerosa-v1_contig_75,0,P0C6F1,ATP binding; ATP catabolic process; ATPase activity; axonemal dynein complex; ciliary or bacterial-type flagellar motility; cilium axoneme; microtubule; microtubule motor activity; microtubule-based movement,"Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2)",Mus musculus (Mouse)
Pgenerosa-v1_contig_7502,8.00E-46,Q99700,Golgi apparatus; RNA binding; RNA metabolic process; RNA transport; cell death; cerebellar Purkinje cell differentiation; cytoplasmic mRNA processing body assembly; cytoplasmic stress granule; homeostasis of number of cells; negative regulation of multicellular organism growth; negative regulation of receptor internalization; neuromuscular process; neuron projection morphogenesis; nucleus; perinuclear region of cytoplasm; polysome; regulation of translation; stress granule assembly; trans-Golgi network,Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein),Homo sapiens (Human)
Pgenerosa-v1_contig_7506,2.00E-109,Q6UJY2,cell differentiation; cilium membrane; integral to membrane; multicellular organismal development; sodium ion transport; solute:hydrogen antiporter activity; sperm motility; spermatogenesis,Sodium/hydrogen exchanger 10 (Na(+)/H(+) exchanger 10) (NHE-10) (Solute carrier family 10 member 10) (Solute carrier family 9 member C1) (Sperm-specific Na(+)/H(+) exchanger) (sNHE),Mus musculus (Mouse)
Pgenerosa-v1_contig_7508,4.00E-39,Q5YCC5,integral to membrane; ion transport,Transmembrane channel-like protein 7,Gallus gallus (Chicken)
Pgenerosa-v1_contig_7512,1.00E-110,Q9NYV6,"cell proliferation; cytoplasm organization; homeostasis of number of cells; in utero embryonic development; negative regulation of apoptotic process; nucleolus; nucleolus organization; nucleoplasm; positive regulation of transcription, DNA-dependent; regulation of DNA-dependent transcription, initiation; ribosome biogenesis; transcription initiation from RNA polymerase I promoter",RNA polymerase I-specific transcription initiation factor RRN3 (Transcription initiation factor IA) (TIF-IA),Homo sapiens (Human)
Pgenerosa-v1_contig_7513,5.00E-58,Q28FE2,RNA polymerase II transcription cofactor activity; mediator complex,Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31) (Mediator complex subunit soh1),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Pgenerosa-v1_contig_7516,5.00E-52,Q54271,antibiotic biosynthetic process; organic phosphonate biosynthetic process; phosphonopyruvate decarboxylase activity; thiamine pyrophosphate binding,Phosphonopyruvate decarboxylase (EC 4.1.1.82),Streptomyces hygroscopicus
Pgenerosa-v1_contig_7520,2.00E-14,P14381,RNA binding; RNA-dependent DNA replication; RNA-directed DNA polymerase activity,Transposon TX1 uncharacterized 149 kDa protein (ORF 2),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_7522,2.00E-21,Q49AM3,,Tetratricopeptide repeat protein 31 (TPR repeat protein 31),Homo sapiens (Human)
Pgenerosa-v1_contig_7525,2.00E-78,Q9QZ25,anchored to membrane; extracellular space; pantetheine hydrolase activity; pantothenate metabolic process; plasma membrane,Vascular non-inflammatory molecule 3 (Vanin-3) (EC 3.5.1.92),Mus musculus (Mouse)
Pgenerosa-v1_contig_753,2.00E-130,P13667,cell redox homeostasis; cell surface; endoplasmic reticulum lumen; glycerol ether metabolic process; melanosome; protein disulfide isomerase activity; protein disulfide oxidoreductase activity; protein secretion,Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72),Homo sapiens (Human)
Pgenerosa-v1_contig_7531,5.00E-85,Q8BX94,cholesterol binding; lipid transport,Oxysterol-binding protein-related protein 2 (ORP-2) (OSBP-related protein 2),Mus musculus (Mouse)
Pgenerosa-v1_contig_7532,0,Q7Z4S6,ATP binding; cytoplasm; kinesin complex; microtubule; microtubule motor activity; microtubule-based movement,Kinesin-like protein KIF21A (Kinesin-like protein KIF2) (Renal carcinoma antigen NY-REN-62),Homo sapiens (Human)
Pgenerosa-v1_contig_7538,1.00E-139,Q9VN14,anchored to membrane; axon ensheathment; carbohydrate binding; cell adhesion involved in heart morphogenesis; establishment of glial blood-brain barrier; establishment or maintenance of epithelial cell apical/basal polarity; nerve maturation; plasma membrane; septate junction; septate junction assembly,Contactin,Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_754,2.00E-128,P20072,calcium ion binding; calcium-dependent phospholipid binding; cell proliferation; cellular calcium ion homeostasis; cellular water homeostasis; chromaffin granule membrane; cytosol; endoplasmic reticulum membrane; hemostasis; nuclear envelope; plasma membrane; regulation of cell shape; response to salt stress; social behavior,Annexin A7 (Annexin VII) (Annexin-7) (Synexin),Bos taurus (Bovine)
Pgenerosa-v1_contig_7541,0,Q8BH74,condensed chromosome kinetochore; mRNA export from nucleus; nuclear membrane; nuclear periphery; nuclear pore complex assembly; nuclear pore outer ring; nucleocytoplasmic transporter activity; protein transport; structural constituent of nuclear pore,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107),Mus musculus (Mouse)
Pgenerosa-v1_contig_7544,0,Q6P635,COP9 signalosome; metal ion binding; metallopeptidase activity; perinuclear region of cytoplasm; proteolysis,COP9 signalosome complex subunit 5 (Signalosome subunit 5) (EC 3.4.-.-),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Pgenerosa-v1_contig_7549,7.00E-44,Q2PFV2,apoptotic process; cysteine-type endopeptidase activity; cytoplasm; proteolysis,Caspase-3 (CASP-3) (EC 3.4.22.56) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12],Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Pgenerosa-v1_contig_7550,0,Q9HCD6,in utero embryonic development,"Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)",Homo sapiens (Human)
Pgenerosa-v1_contig_756,5.00E-25,Q8C8H8,Z disc; cytoskeleton; muscle organ development; neuromuscular junction development; peptidase activity; proteolysis,Kyphoscoliosis peptidase (EC 3.4.-.-),Mus musculus (Mouse)
Pgenerosa-v1_contig_7560,9.00E-13,Q5JSL3,Rho guanyl-nucleotide exchange factor activity; blood coagulation; cytosol; phospholipid binding; small GTPase mediated signal transduction,Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2),Homo sapiens (Human)
Pgenerosa-v1_contig_7563,1.00E-16,E7EY42,endoplasmic reticulum membrane; integral to membrane; phosphatidylserine biosynthetic process; transferase activity,Phosphatidylserine synthase 2 (PSS-2) (PtdSer synthase 2) (EC 2.7.8.29) (Serine-exchange enzyme II),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_7564,1.00E-13,Q5YW75,"oxidoreductase activity, acting on CH or CH2 groups",Ectoine hydroxylase (EC 1.17.-.-),Nocardia farcinica (strain IFM 10152)
Pgenerosa-v1_contig_7566,2.00E-12,O35449,cell junction; integral to membrane; plasma membrane; response to biotic stimulus; synapse,Proline-rich transmembrane protein 1 (Dispanin subfamily D member 1) (DSPD1) (Synapse differentiation-induced protein 4),Mus musculus (Mouse)
Pgenerosa-v1_contig_7568,9.00E-08,Q9D9T0,,DPY30 domain-containing protein 1,Mus musculus (Mouse)
Pgenerosa-v1_contig_7569,2.00E-168,Q04336,catalytic activity; metabolic process,Uncharacterized protein YMR196W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Pgenerosa-v1_contig_7570,2.00E-08,Q91ZX7,aorta morphogenesis; apoptotic cell clearance; beta-amyloid clearance; calcium ion binding; cholesterol metabolic process; coated pit; integral to plasma membrane; negative regulation of Wnt receptor signaling pathway; negative regulation of platelet-derived growth factor receptor-beta signaling pathway; negative regulation of smooth muscle cell migration; nucleus; perinuclear region of cytoplasm; positive regulation of cholesterol efflux; receptor-mediated endocytosis; regulation of actin cytoskeleton organization; regulation of phospholipase A2 activity,Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)],Mus musculus (Mouse)
Pgenerosa-v1_contig_7571,0,B4QZU1,"3',5'-cyclic-GMP phosphodiesterase activity; cGMP metabolic process; membrane; metal ion binding; plasma membrane; signal transduction","cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35)",Drosophila simulans (Fruit fly)
Pgenerosa-v1_contig_7575,2.00E-16,Q5ZLF0,cytoplasm,Hsc70-interacting protein (Hip) (Protein FAM10A1) (Protein ST13 homolog),Gallus gallus (Chicken)
Pgenerosa-v1_contig_7576,6.00E-108,P09487,alkaline phosphatase activity; anchored to membrane; metal ion binding; plasma membrane; response to vitamin D,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)",Bos taurus (Bovine)
Pgenerosa-v1_contig_7581,1.00E-81,Q8BGF6,GTPase activator activity; cytoskeleton; phagocytosis; regulation of defense response to virus,ELMO domain-containing protein 2,Mus musculus (Mouse)
Pgenerosa-v1_contig_7587,3.00E-78,Q4R8V8,,Coiled-coil domain-containing protein 37,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Pgenerosa-v1_contig_7588,2.00E-64,Q8CH02,RNA binding; RNA splicing; mRNA processing; spliceosomal complex,SURP and G-patch domain-containing protein 1 (Splicing factor 4),Mus musculus (Mouse)
Pgenerosa-v1_contig_7589,8.00E-45,Q3ZBX1,GPI anchor biosynthetic process; endoplasmic reticulum membrane; integral to membrane; phosphatidylinositol N-acetylglucosaminyltransferase activity,Phosphatidylinositol N-acetylglucosaminyltransferase subunit C (EC 2.4.1.198) (Phosphatidylinositol-glycan biosynthesis class C protein) (PIG-C),Bos taurus (Bovine)
Pgenerosa-v1_contig_7596,3.00E-06,Q6R7K3,"DNA replication; deoxyribonucleoside diphosphate metabolic process; metal ion binding; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",Ribonucleoside-diphosphate reductase small chain (EC 1.17.4.1),Ostreid herpesvirus 1 (isolate France) (OsHV-1) (Pacific oyster herpesvirus)
Pgenerosa-v1_contig_7598,2.00E-42,P56213,flavin adenine dinucleotide binding; mitochondrial intermembrane space; mitochondrion; protein disulfide oxidoreductase activity; thiol oxidase activity,FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration),Mus musculus (Mouse)
Pgenerosa-v1_contig_7599,0,P0AC33,"4 iron, 4 sulfur cluster binding; cytosol; fumarate hydratase activity; metal ion binding; oxaloacetate tautomerase activity; tricarboxylic acid cycle","Fumarate hydratase class I, aerobic (Fumarase) (EC 4.2.1.2)",Escherichia coli (strain K12)
Pgenerosa-v1_contig_760,1.00E-15,Q0VFD6,centrosome; gamma-tubulin complex localization; gamma-tubulin ring complex; spindle,Mitotic-spindle organizing protein 1 (Mitotic-spindle organizing protein associated with a ring of gamma-tubulin 1),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Pgenerosa-v1_contig_7600,5.00E-57,Q9VMW8,integral to membrane; transport,Mannose-P-dolichol utilization defect 1 protein homolog,Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_7602,0,Q8AY73,cytoplasm; intracellular protein transport; nucleus,Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter),Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)
Pgenerosa-v1_contig_7603,4.00E-10,P35072,"DNA binding; DNA integration; nucleus; transposase activity; transposition, DNA-mediated",Transposable element Tcb1 transposase (Transposable element Barney transposase),Caenorhabditis briggsae
Pgenerosa-v1_contig_7604,1.00E-35,Q09675,cellular response to oxidative stress; cytosol; nucleus; peptidase activity; proteolysis,Uncharacterized protein C5H10.02c (EC 3.2.-.-),Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Pgenerosa-v1_contig_7605,4.00E-48,Q6P132,apoptotic process,Tax1-binding protein 1 homolog B,Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_7606,1.00E-19,Q8N1I0,Rac GTPase activator activity; Rac GTPase binding; cell chemotaxis; cytosol; endomembrane system; guanyl-nucleotide exchange factor activity; membrane; small GTPase mediated signal transduction; stereocilium,Dedicator of cytokinesis protein 4,Homo sapiens (Human)
Pgenerosa-v1_contig_7609,9.00E-30,Q86WI1,cytosol; extracellular space; immune response; integral to membrane; receptor activity,Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1),Homo sapiens (Human)
